team,matchday,standings
1. FC Koeln,1,12
1. FC Koeln,2,4
1. FC Koeln,3,9
1. FC Koeln,4,8
1. FC Koeln,5,9
1. FC Koeln,6,13
1. FC Koeln,7,14
1. FC Koeln,8,11
1. FC Koeln,9,10
1. FC Koeln,10,11
1. FC Koeln,11,9
1. FC Koeln,12,11
1. FC Koeln,13,12
1. FC Koeln,14,12
1. FC Koeln,15,11
1. FC Koeln,16,10
1. FC Koeln,17,11
1. FC Koeln,18,10
1. FC Koeln,19,10
1. FC Koeln,20,11
1. FC Koeln,21,11
1. FC Koeln,22,13
1. FC Koeln,23,13
1. FC Koeln,24,11
1. FC Koeln,25,12
1. FC Koeln,26,12
1. FC Koeln,27,13
1. FC Koeln,28,11
1. FC Koeln,29,12
1. FC Koeln,30,12
1. FC Koeln,31,11
1. FC Koeln,32,10
1. FC Koeln,33,12
1. FC Koeln,34,12
1. FSV Mainz 05,1,6
1. FSV Mainz 05,2,10
1. FSV Mainz 05,3,7
1. FSV Mainz 05,4,2
1. FSV Mainz 05,5,5
1. FSV Mainz 05,6,5
1. FSV Mainz 05,7,6
1. FSV Mainz 05,8,4
1. FSV Mainz 05,9,6
1. FSV Mainz 05,10,9
1. FSV Mainz 05,11,8
1. FSV Mainz 05,12,9
1. FSV Mainz 05,13,11
1. FSV Mainz 05,14,11
1. FSV Mainz 05,15,12
1. FSV Mainz 05,16,11
1. FSV Mainz 05,17,12
1. FSV Mainz 05,18,11
1. FSV Mainz 05,19,12
1. FSV Mainz 05,20,13
1. FSV Mainz 05,21,14
1. FSV Mainz 05,22,11
1. FSV Mainz 05,23,12
1. FSV Mainz 05,24,13
1. FSV Mainz 05,25,11
1. FSV Mainz 05,26,11
1. FSV Mainz 05,27,12
1. FSV Mainz 05,28,13
1. FSV Mainz 05,29,11
1. FSV Mainz 05,30,10
1. FSV Mainz 05,31,10
1. FSV Mainz 05,32,12
1. FSV Mainz 05,33,10
1. FSV Mainz 05,34,11
Bayer Leverkusen,1,1
Bayer Leverkusen,2,1
Bayer Leverkusen,3,1
Bayer Leverkusen,4,5
Bayer Leverkusen,5,2
Bayer Leverkusen,6,3
Bayer Leverkusen,7,4
Bayer Leverkusen,8,6
Bayer Leverkusen,9,5
Bayer Leverkusen,10,5
Bayer Leverkusen,11,6
Bayer Leverkusen,12,4
Bayer Leverkusen,13,3
Bayer Leverkusen,14,4
Bayer Leverkusen,15,3
Bayer Leverkusen,16,4
Bayer Leverkusen,17,3
Bayer Leverkusen,18,6
Bayer Leverkusen,19,5
Bayer Leverkusen,20,6
Bayer Leverkusen,21,6
Bayer Leverkusen,22,6
Bayer Leverkusen,23,4
Bayer Leverkusen,24,4
Bayer Leverkusen,25,4
Bayer Leverkusen,26,4
Bayer Leverkusen,27,4
Bayer Leverkusen,28,4
